method,region,confidence_drop,attribution_mass,prediction_changed
gradcam,background,-0.019003495573997498,0.38413062372377943,0.07142857142857142
gradcam,eyes,0.12060801445373467,0.20982574964208262,0.35714285714285715
gradcam,mouth,0.1851017459162644,0.16555821656116418,0.5714285714285714
lime,background,-0.019003495573997498,0.32647972234657835,0.07142857142857142
lime,eyes,0.12060801445373467,0.23693683184683323,0.35714285714285715
lime,mouth,0.1851017459162644,0.21124116171683585,0.5714285714285714
shap,background,-0.019003495573997498,0.5577672336782727,0.07142857142857142
shap,eyes,0.12060801445373467,0.14215218329003879,0.35714285714285715
shap,mouth,0.1851017459162644,0.0983391252479383,0.5714285714285714
