method,deletion_auc,insertion_auc,robustness_pearson_mean,robustness_rank_corr_mean,robustness_topk_iou_mean
lime,0.22735176535456308,0.7162801174180847,0.9165074672350967,0.81282636568261,0.6567187713967393
gradcam,0.4369964493571648,0.5294513359133687,0.8927120254897584,0.8549955244743812,0.6596544504788335
shap,0.5066099948249757,0.4574339212384074,0.07449080041888545,0.13329362861947694,0.28966427243911086
