sample_idx,method,perturbation_idx,pearson,rank_corr,topk_iou,target_confidence
482,lime,4,0.9360147884479322,0.9559383350083621,0.99209726443769,0.9075511693954468
482,shap,0,0.9951151486182872,0.6739568408397892,0.9663966396639664,0.9009706377983093
482,shap,1,0.998361846486938,0.7670269080688215,0.96345116836429,0.9110159873962402
482,shap,2,0.9635629010632168,0.5273375565566081,0.7829162132752993,0.8999024629592896
482,shap,3,0.9946890167422662,0.5365390997818978,0.96345116836429,0.9173843860626221
482,shap,4,0.9620293390282144,0.4694960327188307,0.7829162132752993,0.9032901525497437
2378,gradcam,0,0.8718530246296199,0.8931649118791486,0.6451612903225806,0.8895233273506165
2378,gradcam,1,0.8658113571327525,0.8774855516136416,0.6190476190476191,0.7952519059181213
2378,gradcam,2,0.9282532592258832,0.9014741645685511,0.6721311475409836,0.852169394493103
2378,gradcam,3,0.9461786422351729,0.9214751659418631,0.7,0.8005452752113342
2378,gradcam,4,0.9320294249489256,0.9315003433279927,0.6190476190476191,0.8345420360565186
2378,lime,0,0.9544743102835898,0.6958539171275494,0.37371620205407674,0.9011803269386292
2378,lime,1,0.833420497210442,0.6218586243695726,0.28283421413192406,0.8573485016822815
2378,lime,2,0.8963103455387076,0.6210197628531177,0.28283421413192406,0.8100300431251526
2378,lime,3,0.9400782811354363,0.6237165021282115,0.28283421413192406,0.8679428696632385
2378,lime,4,0.5979119270452288,0.5461539958078417,0.20323113640536075,0.8247926235198975
2378,shap,0,0.9748391250815222,0.879273291669509,0.5923226433430515,0.88547682762146
2378,shap,1,0.9101964498583136,0.8585942476536748,0.5923226433430515,0.7952944040298462
2378,shap,2,0.938072212311073,0.9947070882174741,1.0,0.7788568735122681
2378,shap,3,0.9731909744019448,0.9930197722791572,1.0,0.8408053517341614
2378,shap,4,0.9719445442948748,0.8856198242233393,0.5923226433430515,0.8700567483901978
2405,gradcam,0,0.8858335446626582,0.8631215667200732,0.6451612903225806,0.9537693858146667
2405,gradcam,1,0.9140173373629706,0.8914404039826047,0.6190476190476191,0.9749256372451782
2405,gradcam,2,0.9430771512359746,0.9138754577706569,0.7586206896551724,0.9734727144241333
2405,gradcam,3,0.8731312381816897,0.8441526951247426,0.5692307692307692,0.9619590640068054
2405,gradcam,4,0.9602647829613103,0.930246480888075,0.7894736842105263,0.965031623840332
2405,lime,0,0.9972377522643407,0.9586801690290977,0.7542826552462527,0.9506591558456421
2405,lime,1,0.9993030442027901,0.8902259527889014,0.7179554390563565,0.9749273061752319
2405,lime,2,0.9982525170665488,0.9604904407916991,0.8246102449888641,0.9564241766929626
2405,lime,3,0.9994785957868288,0.7618367509926277,0.7542826552462527,0.9658709764480591
2405,lime,4,0.9979348267404652,0.9882798864809905,0.7542826552462527,0.9698628783226013
2405,shap,0,0.9925635189834181,0.9004186375387824,0.9663966396639664,0.9571883082389832
2405,shap,1,0.9987197496220156,0.8043498770181187,0.957002090176172,0.976254940032959
2405,shap,2,0.9985760418297085,0.8130946458172145,0.9540846750149076,0.9589248895645142
2405,shap,3,0.9986530764009462,0.8185238665761733,0.9552505966587113,0.9630329012870789
2405,shap,4,0.9989925090743198,0.8181256379867069,0.9552505966587113,0.9700208306312561
2447,gradcam,0,0.9012623714942123,0.7978420405127031,0.59375,0.36285433173179626
2447,gradcam,1,0.7939224293106187,0.7626022831311513,0.5223880597014925,0.37912532687187195
2447,gradcam,2,0.8152007303047059,0.8292143511100939,0.59375,0.45646336674690247
2447,gradcam,3,0.9088828566020646,0.8262102311741817,0.59375,0.3809570074081421
2447,gradcam,4,0.8072621893359007,0.8159633211261158,0.5,0.36631378531455994
2447,lime,0,0.9245764463051562,0.9219473522828561,0.5694444444444444,0.3942529261112213
2447,lime,1,0.7112956342783923,0.884388884428933,0.35161889049288514,0.33545106649398804
2447,lime,2,0.9549487650485796,0.9370053778020283,0.4718167527509544,0.43826666474342346
2447,lime,3,0.9574800015421202,0.9286001919586364,0.5694444444444444,0.39866718649864197
2447,lime,4,0.948164557246137,0.9955033672864209,0.7398460313246615,0.39963677525520325
2447,shap,0,0.8514261344997941,0.8010318014712777,0.8441193021947102,0.37410643696784973
2447,shap,1,0.5793469163998105,0.5271237706311686,0.33211382113821136,0.32962918281555176
2447,shap,2,0.8975162348047956,0.996053161261292,0.7143604499084488,0.3963581919670105
2447,shap,3,0.9040275828378341,0.8099709803706365,0.8441193021947102,0.3847297132015228
2447,shap,4,0.9041872680539379,0.8229352232990483,0.7143604499084488,0.36431628465652466
2735,gradcam,0,0.925092593231319,0.9285291256580454,0.7586206896551724,0.9269693493843079
2735,gradcam,1,0.957489084769502,0.8820589665827421,0.7894736842105263,0.9364637136459351
2735,gradcam,2,0.8921893072216663,0.8201025692378119,0.6451612903225806,0.9374908208847046
2735,gradcam,3,0.9380527861964438,0.8659139677271687,0.7288135593220338,0.9353001713752747
2735,gradcam,4,0.9401439743365754,0.8814574273289082,0.7288135593220338,0.9354541897773743
2735,lime,0,0.9871965868007999,0.9785137093531304,1.0,0.9241756200790405
2735,lime,1,0.9893813296806637,0.9638914639882382,1.0,0.9338915348052979
2735,lime,2,0.9779781874296896,0.9586089097060376,1.0,0.9425211548805237
2735,lime,3,0.9857937153840912,0.946713819141896,1.0,0.9303464889526367
2735,lime,4,0.9885744556192518,0.9549126642962822,1.0,0.9413729310035706
