method,deletion_auc,insertion_auc,robustness_pearson_mean,robustness_rank_corr_mean,robustness_topk_iou_mean
lime,0.2126859400753996,0.7181385058909655,0.9052299519473824,0.813394509837761,0.7321899577324844
deepshap,0.2828690591933472,0.6070165803922075,0.2682545942729569,0.2038405063257044,0.20977095462045234
gradcam,0.4369964493571648,0.5294513359133687,0.8868153086400488,0.8530944376777949,0.6586664670737733
shap,0.5007876228807228,0.46756692746255013,-0.03018774160134773,0.050709142967250494,0.25604890943494824
